Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Memecylon_randerianum,0.949,0.0,24.5,0.0,0.0,0.0,0.0,55.7,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.5,12.4
Beilschmiedia_wightii,0.948,2.8,0.4,0.0,1.2,0.0,2.0,0.5,16.1,6.1,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,65.6,3.9
Actinodaphne_hookeri,0.969,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,26.8,0.0,0.0,0.0,0.0,56.1,0.0,0.5,0.0,9.9,0.0
Euonymus_indicus,0.975,0.0,4.7,13.6,1.6,0.0,0.2,8.1,0.0,0.3,7.6,0.0,21.7,0.0,0.3,4.1,6.8,2.2,1.6,26.2,0.9
Elaeagnus_conferta,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,0.0,0.0,34.7,5.3,0.1
Orophea_thomsonii,0.836,0.2,4.3,0.5,0.5,0.0,1.5,32.2,3.0,0.2,0.0,0.0,0.0,3.4,0.0,5.9,0.0,8.0,0.0,8.7,31.6
Diospyros_pruriens,0.892,0.0,0.0,0.2,0.9,4.0,0.0,36.6,19.0,0.9,0.0,0.0,16.1,0.0,6.1,0.9,0.9,9.5,2.5,2.3,0.0
Melicope_lunu-ankenda,0.83,0.0,0.4,0.0,0.0,0.0,0.0,2.6,8.6,0.0,0.0,0.0,0.0,2.5,3.4,0.0,56.1,0.0,0.1,22.4,3.9
Terminalia_travancorensis,0.947,0.0,1.0,0.0,0.0,0.0,5.9,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.7,29.7
Schefflera_micrantha,0.971,0.0,0.0,0.0,0.0,0.0,0.0,55.3,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,9.6,0.0
Caryota_urens,0.719,0.0,0.0,8.7,5.2,0.0,0.9,0.9,0.0,0.0,0.0,0.4,0.0,46.1,1.7,1.3,4.1,0.6,10.6,0.2,19.4
Cinnamomum_filipedicellatum,0.995,0.0,16.8,0.3,3.4,0.0,0.0,17.4,0.0,1.5,6.6,0.0,0.0,0.0,51.1,0.0,0.0,0.0,2.4,0.0,0.6
